UUID,Trial #,Chart Type,Actual,Reported,Log Base 2 Error
cc8164d9-e381-232c-637f-843f28716af0,55,Circle Chart,93,95,1.087462841
cc8164d9-e381-232c-637f-843f28716af0,56,Circle Chart,21,15,2.614709844
cc8164d9-e381-232c-637f-843f28716af0,57,Circle Chart,47,35,3.599912842
cc8164d9-e381-232c-637f-843f28716af0,58,Circle Chart,29,30,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,4,Circle Chart,97,100,1.64385619
4b72a75e-b325-45f1-24d7-b1a01ce265fa,6,Circle Chart,5,1,2.044394119
4b72a75e-b325-45f1-24d7-b1a01ce265fa,7,Circle Chart,29,10,4.257387843
4b72a75e-b325-45f1-24d7-b1a01ce265fa,10,Circle Chart,13,5,3.022367813
4b72a75e-b325-45f1-24d7-b1a01ce265fa,11,Circle Chart,49,40,3.189824559
4b72a75e-b325-45f1-24d7-b1a01ce265fa,21,Circle Chart,7,1,2.614709844
4b72a75e-b325-45f1-24d7-b1a01ce265fa,23,Circle Chart,6,2,2.044394119
4b72a75e-b325-45f1-24d7-b1a01ce265fa,26,Circle Chart,40,40,-3
4b72a75e-b325-45f1-24d7-b1a01ce265fa,30,Circle Chart,72,80,3.022367813
4b72a75e-b325-45f1-24d7-b1a01ce265fa,31,Circle Chart,99,90,3.189824559
4b72a75e-b325-45f1-24d7-b1a01ce265fa,32,Circle Chart,84,80,2.044394119
4b72a75e-b325-45f1-24d7-b1a01ce265fa,35,Circle Chart,97,90,2.832890014
4b72a75e-b325-45f1-24d7-b1a01ce265fa,38,Circle Chart,98,100,1.087462841
4b72a75e-b325-45f1-24d7-b1a01ce265fa,42,Circle Chart,81,80,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,43,Circle Chart,29,10,4.257387843
4b72a75e-b325-45f1-24d7-b1a01ce265fa,45,Circle Chart,87,95,3.022367813
4b72a75e-b325-45f1-24d7-b1a01ce265fa,49,Circle Chart,85,80,2.357552005
4b72a75e-b325-45f1-24d7-b1a01ce265fa,50,Circle Chart,74,80,2.614709844
4b72a75e-b325-45f1-24d7-b1a01ce265fa,52,Circle Chart,79,80,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,53,Circle Chart,54,50,2.044394119
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,37,Scattered Circle Chart,3,55,5.703903573
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,39,Scattered Circle Chart,10,55,5.495855027
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,12,Scattered Circle Chart,15,55,5.326429487
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,9,Scattered Circle Chart,20,66,5.527477006
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,53,Scattered Circle Chart,24,55,4.960001932
